station_code,stop_name,weather_time_utc,temperature_2m,precipitation,wind_speed_10m
790,Villepinte,2025-11-15T00:00,13.3,0.1,12.3
790,Villepinte,2025-11-15T01:00,12.8,1.6,9.6
790,Villepinte,2025-11-15T02:00,12.5,0.2,8.4
790,Villepinte,2025-11-15T03:00,12.2,0.1,7.8
790,Villepinte,2025-11-15T04:00,12.0,0.1,5.7
790,Villepinte,2025-11-15T05:00,11.4,0.0,3.7
790,Villepinte,2025-11-15T06:00,11.0,0.0,7.0
790,Villepinte,2025-11-15T07:00,10.9,0.0,4.6
790,Villepinte,2025-11-15T08:00,11.3,0.0,7.0
790,Villepinte,2025-11-15T09:00,12.4,0.0,6.9
790,Villepinte,2025-11-15T10:00,13.2,0.0,4.6
790,Villepinte,2025-11-15T11:00,14.0,0.0,7.1
790,Villepinte,2025-11-15T12:00,13.6,0.0,4.1
790,Villepinte,2025-11-15T13:00,13.7,0.9,3.6
790,Villepinte,2025-11-15T14:00,13.0,0.6,7.7
790,Villepinte,2025-11-15T15:00,12.6,1.2,6.2
790,Villepinte,2025-11-15T16:00,12.3,2.4,5.4
790,Villepinte,2025-11-15T17:00,12.0,2.1,9.1
790,Villepinte,2025-11-15T18:00,11.6,1.5,8.6
790,Villepinte,2025-11-15T19:00,12.0,0.3,6.8
790,Villepinte,2025-11-15T20:00,11.5,0.4,6.7
790,Villepinte,2025-11-15T21:00,10.7,0.2,3.7
790,Villepinte,2025-11-15T22:00,10.6,0.1,2.4
790,Villepinte,2025-11-15T23:00,9.9,0.0,6.2
ABL,Ablon,2025-11-15T00:00,13.2,0.1,11.1
ABL,Ablon,2025-11-15T01:00,12.6,0.3,7.5
ABL,Ablon,2025-11-15T02:00,12.3,1.8,2.2
ABL,Ablon,2025-11-15T03:00,11.9,8.0,5.0
ABL,Ablon,2025-11-15T04:00,11.9,1.6,9.9
ABL,Ablon,2025-11-15T05:00,11.2,0.0,4.4
ABL,Ablon,2025-11-15T06:00,11.4,0.0,6.9
ABL,Ablon,2025-11-15T07:00,11.5,0.0,6.6
ABL,Ablon,2025-11-15T08:00,11.8,0.0,8.6
ABL,Ablon,2025-11-15T09:00,12.6,0.0,7.3
ABL,Ablon,2025-11-15T10:00,13.4,0.0,5.7
ABL,Ablon,2025-11-15T11:00,13.9,0.0,5.5
ABL,Ablon,2025-11-15T12:00,13.2,0.3,3.1
ABL,Ablon,2025-11-15T13:00,13.1,0.7,6.7
ABL,Ablon,2025-11-15T14:00,12.7,1.5,9.3
ABL,Ablon,2025-11-15T15:00,12.4,3.7,6.1
ABL,Ablon,2025-11-15T16:00,12.2,1.6,8.4
ABL,Ablon,2025-11-15T17:00,12.0,0.8,6.5
ABL,Ablon,2025-11-15T18:00,11.9,0.2,6.5
ABL,Ablon,2025-11-15T19:00,11.6,0.6,2.0
ABL,Ablon,2025-11-15T20:00,11.1,0.0,4.5
ABL,Ablon,2025-11-15T21:00,10.2,0.0,4.4
ABL,Ablon,2025-11-15T22:00,9.9,0.0,5.9
ABL,Ablon,2025-11-15T23:00,9.2,0.0,4.6
ACH,Achères Ville,2025-11-15T00:00,13.2,0.4,8.7
ACH,Achères Ville,2025-11-15T01:00,12.8,3.2,8.6
ACH,Achères Ville,2025-11-15T02:00,13.1,0.5,7.5
ACH,Achères Ville,2025-11-15T03:00,12.2,0.0,7.2
ACH,Achères Ville,2025-11-15T04:00,11.5,2.5,5.8
ACH,Achères Ville,2025-11-15T05:00,11.3,0.9,3.4
ACH,Achères Ville,2025-11-15T06:00,11.0,0.0,6.5
ACH,Achères Ville,2025-11-15T07:00,10.6,0.0,5.2
ACH,Achères Ville,2025-11-15T08:00,11.1,0.0,6.2
ACH,Achères Ville,2025-11-15T09:00,12.5,0.0,7.0
ACH,Achères Ville,2025-11-15T10:00,13.4,0.0,6.3
ACH,Achères Ville,2025-11-15T11:00,14.3,0.0,5.0
ACH,Achères Ville,2025-11-15T12:00,13.1,0.3,5.0
ACH,Achères Ville,2025-11-15T13:00,13.1,0.6,6.5
ACH,Achères Ville,2025-11-15T14:00,13.1,0.9,1.4
ACH,Achères Ville,2025-11-15T15:00,12.8,1.2,3.4
ACH,Achères Ville,2025-11-15T16:00,12.2,0.7,3.8
ACH,Achères Ville,2025-11-15T17:00,12.1,1.9,6.9
ACH,Achères Ville,2025-11-15T18:00,12.1,1.4,8.9
ACH,Achères Ville,2025-11-15T19:00,12.3,1.0,7.8
ACH,Achères Ville,2025-11-15T20:00,11.7,0.3,4.2
ACH,Achères Ville,2025-11-15T21:00,10.8,0.4,2.2
ACH,Achères Ville,2025-11-15T22:00,10.1,0.0,4.0
ACH,Achères Ville,2025-11-15T23:00,9.5,0.0,6.3
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T00:00,12.8,0.1,15.3
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T01:00,12.7,0.3,13.1
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T02:00,12.3,0.3,5.8
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T03:00,12.0,0.2,5.8
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T04:00,11.9,0.1,7.8
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T05:00,11.5,0.0,4.4
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T06:00,11.2,0.0,6.5
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T07:00,11.2,0.0,5.8
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T08:00,11.4,0.0,7.5
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T09:00,12.6,0.0,7.4
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T10:00,13.4,0.0,4.7
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T11:00,14.3,0.0,7.9
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T12:00,13.9,0.0,5.9
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T13:00,13.9,0.6,4.7
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T14:00,13.2,0.8,7.0
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T15:00,12.4,1.8,8.7
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T16:00,12.2,2.5,5.4
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T17:00,11.9,2.1,7.3
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T18:00,11.2,1.8,9.3
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T19:00,11.7,0.3,6.1
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T20:00,11.6,0.3,9.0
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T21:00,10.9,0.1,4.2
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T22:00,10.6,0.1,2.8
AER,Aéroport CDG 1 (Terminal 3) - RER,2025-11-15T23:00,9.9,0.1,6.6
AIS,Maisse,2025-11-15T00:00,12.7,0.0,9.5
AIS,Maisse,2025-11-15T01:00,12.8,0.0,10.9
AIS,Maisse,2025-11-15T02:00,12.5,0.0,8.8
AIS,Maisse,2025-11-15T03:00,11.9,0.0,8.4
AIS,Maisse,2025-11-15T04:00,11.1,0.0,5.6
AIS,Maisse,2025-11-15T05:00,10.3,0.0,7.4
AIS,Maisse,2025-11-15T06:00,11.1,0.0,5.2
AIS,Maisse,2025-11-15T07:00,10.2,0.0,5.0
AIS,Maisse,2025-11-15T08:00,11.1,0.3,8.5
AIS,Maisse,2025-11-15T09:00,12.2,0.0,8.2
AIS,Maisse,2025-11-15T10:00,13.2,0.0,6.2
AIS,Maisse,2025-11-15T11:00,13.8,0.0,7.1
AIS,Maisse,2025-11-15T12:00,12.5,0.9,6.0
AIS,Maisse,2025-11-15T13:00,12.4,1.7,9.4
AIS,Maisse,2025-11-15T14:00,12.4,1.5,7.8
AIS,Maisse,2025-11-15T15:00,12.4,0.3,10.5
AIS,Maisse,2025-11-15T16:00,12.0,0.0,5.8
AIS,Maisse,2025-11-15T17:00,11.4,0.0,6.4
AIS,Maisse,2025-11-15T18:00,11.4,0.0,9.0
